SOCIETE|SE|CHAINE_FINANCIERE|ANNEE_MOIS|OBSV|CATEGORIE_ENTREPRISE|CODE_DEPOT|LIBELLE_CODE_DEPOT|STATUT|LIBELLE_STATUT|CODE_APPLI|nbre|INDIC DEMAT|SE_LIBELLE
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|ETI|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|7|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|ETI|9|NUMERISATION|20|COMPTABILISEE|CPP001|2|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_dp|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|5|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|9|NUMERISATION|17|REJETEE|CPP000|8|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|29|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|387|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_se|ETI|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|7|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|ETI|9|NUMERISATION|17|REJETEE|-|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|2|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|GE|-|-|-|-|CPP000|61|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|GE|-|-|-|-|CPP001|69|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|GE|-|-|-|-|-|275|HORS DEMAT|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|6|EDI|19|MISE_EN_PAIEME|CPP001|57|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|GE|6|EDI|14|MISE_A_DISPOSI|BNP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|2|DEPOT_PDF_PORTAIL|20|COMPTABILISEE|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|0|SAISIE_PORTAIL|19|MISE_EN_PAIEME|CPP001|3|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|6|EDI|17|REJETEE|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|6|EDI|17|REJETEE|CPP000|7|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|GE|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|GE|-|-|-|-|BNP001|59|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|6|EDI|14|MISE_A_DISPOSI|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|GE|6|EDI|14|MISE_A_DISPOSI|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_se|GE|6|EDI|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|67|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|GE|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_seule|GE|6|EDI|14|MISE_A_DISPOSI|CPP000|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_seule|GE|6|EDI|14|MISE_A_DISPOSI|-|9|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|6|EDI|14|MISE_A_DISPOSI|CPP001|8|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|GE|6|EDI|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|GE|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|GE|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|15|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|9|NUMERISATION|17|REJETEE|CPP000|40|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|22|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|27|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|9|NUMERISATION|19|MISE_EN_PAIEME|CPP000|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|9|NUMERISATION|20|COMPTABILISEE|CPP001|6|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|238|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_dp|GE|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|150|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|9|NUMERISATION|14|MISE_A_DISPOSI|CPP000|18|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|GE|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|3|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|GE|9|NUMERISATION|17|REJETEE|-|3|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PME|-|-|-|-|CPP000|23|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PME|-|-|-|-|CPP001|7|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PME|-|-|-|-|-|70|HORS DEMAT|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|11|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PME|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|222|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_se|PME|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PME|0|SAISIE_PORTAIL|19|MISE_EN_PAIEME|CPP001|7|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PME|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|5|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|2|DEPOT_PDF_PORTAIL|17|REJETEE|CPP000|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|2|DEPOT_PDF_PORTAIL|0|BROUILLON|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|PME|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|28|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|9|NUMERISATION|17|REJETEE|-|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|PME|9|NUMERISATION|20|COMPTABILISEE|CPP001|2|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PME|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|10|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|PME|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|23|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|PME|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|9|NUMERISATION|19|MISE_EN_PAIEME|-|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|9|NUMERISATION|14|MISE_A_DISPOSI|CPP000|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_se|PME|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|2|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|9|NUMERISATION|19|MISE_EN_PAIEME|CFF001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PME|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|561|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PME|9|NUMERISATION|20|COMPTABILISEE|CPP001|23|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PME|9|NUMERISATION|17|REJETEE|CPP000|6|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PUBLIC|-|-|-|-|CPP000|53|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PUBLIC|-|-|-|-|CPP001|35|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PUBLIC|-|-|-|-|-|183|HORS DEMAT|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_dp|PUBLIC|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|15|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|2|DEPOT_PDF_PORTAIL|17|REJETEE|-|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PUBLIC|6|EDI|14|MISE_A_DISPOSI|CPP001|5|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|6|EDI|14|MISE_A_DISPOSI|CPP000|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PUBLIC|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|6|EDI|14|MISE_A_DISPOSI|CPP001|45|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PUBLIC|6|EDI|14|MISE_A_DISPOSI|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|6|EDI|17|REJETEE|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|rien|PUBLIC|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|-|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_dp|PUBLIC|6|EDI|14|MISE_A_DISPOSI|CPP001|22|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PUBLIC|6|EDI|19|MISE_EN_PAIEME|CPP001|331|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PUBLIC|6|EDI|20|COMPTABILISEE|CPP001|6|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|6|EDI|19|MISE_EN_PAIEME|CPP001|16|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PUBLIC|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|27|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|2|DEPOT_PDF_PORTAIL|23|SUPPRIMEE|CPP001|3|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|98|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|2|DEPOT_PDF_PORTAIL|17|REJETEE|CPP000|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|9|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PUBLIC|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|66|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|9|NUMERISATION|14|MISE_A_DISPOSI|-|5|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_sans_siret|PUBLIC|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|2|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_facture|PUBLIC|9|NUMERISATION|17|REJETEE|CPP000|9|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PUBLIC|9|NUMERISATION|20|COMPTABILISEE|CPP001|7|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique_seule|PUBLIC|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-01|numero_piece_logistique|PUBLIC|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|4|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|rien|-|-|-|-|-|CPP001|4|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|rien|-|-|-|-|-|CPP000|8|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|rien|-|-|-|-|-|-|37|HORS DEMAT|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|-|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|-|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|5|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|-|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|-|2|DEPOT_PDF_PORTAIL|23|SUPPRIMEE|-|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|-|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|-|6|EDI|19|MISE_EN_PAIEME|CPP001|3|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|-|2|DEPOT_PDF_PORTAIL|20|COMPTABILISEE|CPP001|6|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|-|9|NUMERISATION|20|COMPTABILISEE|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|-|9|NUMERISATION|20|COMPTABILISEE|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|-|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|-|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|7|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|-|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|3|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|-|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|9|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|rien|ETI|-|-|-|-|CPP000|15|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|rien|ETI|-|-|-|-|CPP001|6|DEMAT_IND|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|rien|ETI|-|-|-|-|-|72|HORS DEMAT|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP000|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|58|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_se|ETI|0|SAISIE_PORTAIL|20|COMPTABILISEE|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|2|DEPOT_PDF_PORTAIL|20|COMPTABILISEE|CPP001|18|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|6|EDI|14|MISE_A_DISPOSI|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|19|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|0|BROUILLON|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|3|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|ETI|2|DEPOT_PDF_PORTAIL|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|0|BROUILLON|-|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|17|REJETEE|CPP000|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|6|EDI|19|MISE_EN_PAIEME|CPP001|2|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|ETI|6|EDI|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|2|DEPOT_PDF_PORTAIL|14|MISE_A_DISPOSI|CPP001|10|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|0|SAISIE_PORTAIL|19|MISE_EN_PAIEME|CPP001|1|NATIVE|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|18|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_se|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|3|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP001|5|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique_sans_siret|ETI|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|1|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_piece_logistique|ETI|9|NUMERISATION|19|MISE_EN_PAIEME|CPP001|77|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|9|NUMERISATION|14|MISE_A_DISPOSI|CPP000|3|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|9|NUMERISATION|17|REJETEE|CPP000|2|NUMERISATION|PFAF SO
DEFE|D0410T7033|SCA-SC|2017-02|numero_facture|ETI|9|NUMERISATION|17|REJETEE|-|1|NUMERISATION|PFAF SO
